1274897,0.1309,21,-1,6
1474643,0.0704,13,-1,4
1842966,0.131,23,-3,7
1620599,0.1158,13,-3,5
1649885,0.1124,23,-3,3
581806,0.1201,11,-3,5
1290858,0.1341,6,-1,7
754325,0.1398,26,-1,4
1725966,0.1361,25,-2,3
1359284,0.121,11,-1,3
898689,0.0383,28,-1,7
933980,0.127,30,-1,3
1611013,0.0512,20,-3,3
1928900,0.1142,27,-2,3
543015,0.1321,9,-3,5
887097,0.041,18,-2,5
668124,0.1202,23,-1,6
1355700,0.0603,9,-1,6
1060135,0.0575,23,-3,5
2014522,0.135,14,-3,6
629421,0.1422,26,-3,6
1173320,0.0707,11,-3,7
2485149,0.0533,12,-2,3
2048569,0.0844,18,-1,5
922131,0.1371,8,-3,4
950996,0.0466,23,-3,7
1453823,0.0342,20,-3,5
1788934,0.0316,22,-3,7
581640,0.134,7,-3,6
2203277,0.0557,6,-2,3
1363036,0.1223,9,-2,7
1067843,0.0501,10,-3,4
845933,0.0781,25,-1,6
1644027,0.0453,25,-1,6
1462305,0.1465,24,-2,7
822236,0.0373,27,-1,6
1358276,0.0603,10,-1,7
1818237,0.0675,19,-2,3
2280114,0.0553,16,-2,3
2289939,0.1273,14,-1,5
2077468,0.0856,18,-3,5
935328,0.0874,27,-3,7
2480556,0.1118,30,-2,3
2101866,0.0499,29,-1,3
1724944,0.0926,17,-2,7
2394853,0.0498,17,-2,6
1719130,0.1417,16,-2,4
1500087,0.0717,9,-2,5
1334548,0.1225,21,-2,3
1306186,0.0666,27,-1,6
1513295,0.0966,28,-3,7
2475854,0.0902,16,-3,7
1433989,0.0875,10,-1,4
959048,0.0417,30,-1,4
2164869,0.0426,7,-3,4
2445091,0.0966,20,-1,7
835022,0.0631,12,-3,7
1366104,0.1327,23,-2,7
1214757,0.1202,13,-1,6
969920,0.0321,6,-1,3
2167149,0.1203,6,-2,4
1152581,0.1311,13,-3,3
1327406,0.0551,9,-1,5
2270913,0.1123,17,-3,6
1959740,0.0726,13,-1,3
506668,0.1071,15,-3,3
1245402,0.1406,9,-1,3
2416230,0.0918,16,-1,7
902632,0.0642,5,-3,5
1830300,0.1364,30,-3,3
2106978,0.093,11,-2,5
2328964,0.0329,16,-2,4
1983825,0.0956,23,-1,3
1085086,0.0579,25,-2,4
1070438,0.0776,16,-3,3
856092,0.1114,28,-2,5
1364448,0.0667,15,-3,5
828876,0.0764,18,-1,4
986656,0.0975,19,-1,6
1310970,0.0563,25,-3,5
2066780,0.0544,27,-2,7
2464229,0.12,10,-2,6
1030275,0.0617,21,-2,4
2475511,0.1473,24,-3,5
686067,0.0507,19,-2,4
1156505,0.0785,14,-1,6
1826372,0.0489,6,-2,3
2248976,0.1405,28,-3,3
569567,0.1485,10,-3,4
622362,0.0919,16,-2,6
596903,0.1201,28,-3,6
1166162,0.0937,23,-1,6
1199794,0.0791,22,-2,3
738370,0.1309,28,-1,5
764648,0.1255,13,-2,7
2119481,0.0468,22,-2,7
2492569,0.104,27,-2,6
826873,0.0429,24,-3,4
822448,0.0576,17,-1,4
961815,0.1035,14,-3,3
2176724,0.0833,20,-2,7
600601,0.0375,14,-1,5
1584812,0.0982,18,-3,5
1256502,0.0577,11,-2,7
2170191,0.0541,28,-3,7
1067429,0.0691,7,-1,6
1423038,0.0543,19,-1,3
606022,0.1414,17,-1,5
2036831,0.0474,14,-2,4
2498625,0.1426,30,-2,3
1063154,0.0906,5,-3,6
2236932,0.095,11,-2,6
2306166,0.0703,19,-2,7
2406083,0.1205,21,-2,7
525673,0.1165,11,-2,6
1620715,0.1206,28,-2,4
505988,0.0353,18,-3,6
1056324,0.0843,25,-3,4
1210090,0.0585,28,-3,7
2341232,0.1488,11,-3,5
1708784,0.1404,13,-3,4
1901955,0.0893,25,-1,4
759026,0.0894,18,-1,3
2059231,0.1333,11,-1,4
2195503,0.097,27,-3,4
1984091,0.1218,23,-2,3
1193793,0.0534,28,-2,4
1232196,0.064,20,-2,6
2083421,0.0943,11,-3,7
1426605,0.0445,28,-2,6
1163619,0.0616,17,-1,3
644172,0.1197,6,-3,7
1297001,0.1086,5,-2,3
1555630,0.0774,19,-1,6
1807623,0.0306,12,-2,4
1461128,0.0827,11,-3,7
2070791,0.0742,15,-3,6
2137575,0.1337,7,-3,7
587237,0.0407,11,-3,4
1929040,0.147,7,-3,6
2304242,0.0655,28,-2,7
1853649,0.0906,24,-1,3
2469901,0.0847,10,-1,4
1543702,0.1028,17,-1,3
2014832,0.056,5,-3,7
1359136,0.0449,18,-1,3
1712923,0.0456,17,-1,4
1419571,0.1363,26,-2,3
2443125,0.0738,16,-3,6
1582814,0.0407,29,-3,3
1577230,0.1186,5,-3,3
769304,0.0446,8,-1,7
800711,0.0394,12,-1,5
1127525,0.0701,16,-3,5
501831,0.0511,15,-3,4
967186,0.081,24,-1,7
988729,0.0752,12,-1,7
711552,0.1088,10,-1,7
1037010,0.0959,9,-3,5
1044419,0.0416,18,-3,7
1116913,0.1455,7,-3,7
1368969,0.0717,12,-3,3
1038826,0.0376,7,-1,4
1274214,0.0717,6,-2,5
1380722,0.1476,18,-1,5
1031420,0.1089,6,-1,5
2006007,0.1484,8,-3,5
1040585,0.1482,28,-2,7
1996155,0.0459,15,-2,6
1568612,0.0967,29,-1,5
1982964,0.1385,6,-1,3
